 ,IDENTIFIER,Average_Distance_of_1_neighbors,
1,0,0.00,
2,1,21.04,
3,2,23.38,
4,3,35.34,
5,4,28.69,
6,5,32.44,
7,6,27.89,
8,7,32.86,
9,8,23.38,
10,9,34.02,
11,10,26.46,
12,11,21.04,
13,12,33.29,
14,13,26.20,
15,14,28.78,
16,15,28.69,
17,16,28.63,
18,17,26.46,
19,18,27.31,
20,19,25.37,
21,20,33.41,
22,21,33.35,
23,22,38.46,
24,23,37.21,
25,24,33.61,
26,25,25.97,
27,26,25.97,
28,27,26.15,
29,28,36.18,
30,29,27.35,
31,30,25.37,
32,31,32.61,
33,32,34.39,
34,33,35.20,
35,34,24.96,
36,35,34.34,
37,36,31.83,
38,37,39.46,
39,38,26.01,
40,39,34.34,
41,40,24.96,
42,41,32.33,
43,42,23.20,
44,43,25.26,
45,44,28.03,
46,45,32.37,
47,46,23.20,
48,47,29.91,
49,48,29.23,
50,49,24.25,
51,50,39.13,
52,51,24.22,
53,52,21.76,
54,53,25.42,
55,54,26.32,
56,55,24.22,
57,56,29.23,
58,57,32.37,
59,58,21.76,
60,59,32.18,
61,60,27.70,
62,61,25.42,
63,62,34.45,
64,63,25.23,
65,64,31.10,
66,65,23.35,
67,66,23.35,
68,67,46.60,
69,68,27.70,
70,69,34.14,
71,70,26.22,
72,71,36.28,
73,72,25.53,
74,73,26.37,
75,74,22.78,
76,75,26.22,
77,76,26.37,
78,77,22.78,
79,78,26.48,
80,79,29.51,
81,80,21.24,
82,81,21.24,
83,82,35.75,
84,83,21.17,
85,84,29.51,
86,85,32.12,
87,86,32.12,
88,87,30.06,
89,88,34.04,
90,89,22.13,
91,90,21.17,
92,91,30.49,
93,92,22.13,
94,93,32.60,
95,94,32.66,
96,95,22.65,
97,96,30.01,
98,97,29.00,
99,98,27.90,
100,99,33.45,
101,100,32.60,
102,101,31.52,
103,102,30.01,
104,103,22.00,
105,104,21.18,
106,105,23.74,
107,106,39.63,
108,107,21.18,
109,108,27.90,
110,109,32.66,
